run,planner,success_rate,plan_0/success_rate,plan_0/mean_state_dist,plan_0/mean_visual_dist,plan_0/mean_proprio_dist,plan_0/mean_div_visual_emb,plan_0/mean_div_proprio_emb,step,mean_state_dist,mean_visual_dist,mean_proprio_dist,mean_div_visual_emb,mean_div_proprio_emb
pointmaze_full_nodecoder_t4_fp16_b32_stride2_seed0,cem,,0.16,1.4128888529294072,0.5665326052295918,0.5747033357620239,494.5871276855469,11.671438217163086,1.0,,,,,
pointmaze_full_nodecoder_t4_fp16_b32_stride2_seed0,cem,,0.06,1.299103922103371,0.5638594812925171,0.5291207432746887,502.62579345703125,11.987744331359863,2.0,,,,,
pointmaze_full_nodecoder_t4_fp16_b32_stride2_seed0,cem,,0.0,1.2799833947741928,0.5839910182823129,0.518971860408783,405.727783203125,9.894810676574707,3.0,,,,,
pointmaze_full_nodecoder_t4_fp16_b32_stride2_seed0,cem,,0.04,1.1868814961908754,0.5829943930697279,0.49601951241493225,408.701904296875,9.427995681762695,4.0,,,,,
pointmaze_full_nodecoder_t4_fp16_b32_stride2_seed0,cem,,0.16,1.4128888529294072,0.5665326052295918,0.5747033357620239,494.5871276855469,11.671438217163086,1.0,,,,,
pointmaze_full_nodecoder_t4_fp16_b32_stride2_seed0,cem,,0.06,1.299103922103371,0.5638594812925171,0.5291207432746887,502.62579345703125,11.987744331359863,2.0,,,,,
pointmaze_full_nodecoder_t4_fp16_b32_stride2_seed0,cem,,0.0,1.2799833947741928,0.5839910182823129,0.518971860408783,405.727783203125,9.894810676574707,3.0,,,,,
pointmaze_full_nodecoder_t4_fp16_b32_stride2_seed0,cem,,0.04,1.1868814961908754,0.5829943930697279,0.49601951241493225,408.701904296875,9.427995681762695,4.0,,,,,
pointmaze_full_nodecoder_t4_fp16_b32_stride2_seed0,cem,,0.04,1.243144832772348,0.5900483630952381,0.5103330016136169,376.8822326660156,10.336174964904785,5.0,,,,,
pointmaze_full_nodecoder_t4_fp16_b32_stride2_seed0,cem,,0.08,1.2182556601359382,0.5816691911139455,0.505440354347229,378.2397766113281,10.208468437194824,6.0,,,,,
pointmaze_full_nodecoder_t4_fp16_b32_stride2_seed0,cem,,0.14,1.088888463677665,0.5783702699829932,0.4531766474246979,377.6085510253906,9.339624404907227,7.0,,,,,
pointmaze_full_nodecoder_t4_fp16_b32_stride2_seed0,cem,,0.18,1.0846984465265805,0.5741038212159864,0.44894883036613464,332.1540832519531,9.105369567871094,8.0,,,,,
pointmaze_full_nodecoder_t4_fp16_b32_stride2_seed0,cem,,0.16,1.0392555417065483,0.5754481558248299,0.4320736825466156,350.5089111328125,8.8800630569458,9.0,,,,,
pointmaze_full_nodecoder_t4_fp16_b32_stride2_seed0,cem,,0.26,1.0184407935264135,0.5659134513180272,0.4262863099575043,334.4662170410156,9.100231170654297,10.0,,,,,
pointmaze_full_nodecoder_t4_fp16_b32_stride2_seed0,cem,0.26,,,,,,,,1.0184407935264135,0.5659134513180272,0.4262863099575043,334.4662170410156,9.100231170654297
pointmaze_lowdata_finetune_a100_seed0,cem,,0.14,1.5078630079160096,0.5538632015306122,0.6057020425796509,526.8370361328125,13.225398063659668,1.0,,,,,
pointmaze_lowdata_finetune_a100_seed0,cem,,0.06,1.416256274084902,0.5645709768282313,0.5709625482559204,467.1872253417969,10.873214721679688,2.0,,,,,
pointmaze_lowdata_finetune_a100_seed0,cem,,0.1,1.3722458986878303,0.5658852838010204,0.5532727241516113,434.27008056640625,10.139564514160156,3.0,,,,,
pointmaze_lowdata_finetune_a100_seed0,cem,,0.06,1.34090706827773,0.5735279815051021,0.5506507158279419,366.1574401855469,9.490717887878418,4.0,,,,,
pointmaze_lowdata_finetune_a100_seed0,cem,,0.04,1.2945651563409766,0.5769622927295919,0.5399236679077148,385.05181884765625,9.483267784118652,5.0,,,,,
pointmaze_lowdata_finetune_a100_seed0,cem,,0.0,1.2085131788268253,0.5722055697278912,0.5044901967048645,340.4150085449219,8.896600723266602,6.0,,,,,
pointmaze_lowdata_finetune_a100_seed0,cem,,0.14,1.1448406666359947,0.5709080038265306,0.4753779172897339,366.1378173828125,9.084588050842285,7.0,,,,,
pointmaze_lowdata_finetune_a100_seed0,cem,,0.16,1.025814205241413,0.5662555803571429,0.43865257501602173,354.52374267578125,8.093454360961914,8.0,,,,,
pointmaze_lowdata_finetune_a100_seed0,cem,,0.22,0.9992510831090885,0.5598214285714286,0.42539992928504944,351.9124755859375,8.09800910949707,9.0,,,,,
pointmaze_lowdata_finetune_a100_seed0,cem,,0.34,0.9977116949366054,0.5482340826955783,0.4261144995689392,378.141845703125,8.247718811035156,10.0,,,,,
pointmaze_lowdata_finetune_a100_seed0,cem,0.34,,,,,,,,0.9977116949366054,0.5482340826955783,0.4261144995689392,378.141845703125,8.247718811035156
pointmaze_lowdata_scratch_a100_seed0,cem,,0.02,1.5991497376145745,0.5599541613520408,0.6606414318084717,462.2134094238281,10.47939395904541,1.0,,,,,
pointmaze_lowdata_scratch_a100_seed0,cem,,0.0,1.4960079541947753,0.5643510841836735,0.6252342462539673,465.0155029296875,11.003555297851562,2.0,,,,,
pointmaze_lowdata_scratch_a100_seed0,cem,,0.0,1.418878066515524,0.5743500212585034,0.5721989274024963,410.6868896484375,10.686473846435547,3.0,,,,,
pointmaze_lowdata_scratch_a100_seed0,cem,,0.0,1.42120703954379,0.5786720078656462,0.5775042176246643,401.3244934082031,10.323742866516113,4.0,,,,,
pointmaze_lowdata_scratch_a100_seed0,cem,,0.0,1.3723031169991744,0.5800103635204081,0.5658451318740845,411.6581726074219,10.653539657592773,5.0,,,,,
pointmaze_lowdata_scratch_a100_seed0,cem,,0.0,1.2568599369588689,0.5819511320153061,0.5245522260665894,416.5280456542969,10.761026382446289,6.0,,,,,
pointmaze_lowdata_scratch_a100_seed0,cem,,0.04,1.1785253627017125,0.5809369685374149,0.4911549389362335,386.2518615722656,10.018176078796387,7.0,,,,,
pointmaze_lowdata_scratch_a100_seed0,cem,,0.08,1.0980163629949071,0.5794391741071429,0.4624471366405487,399.08123779296875,10.395651817321777,8.0,,,,,
pointmaze_lowdata_scratch_a100_seed0,cem,,0.06,1.1309157845768085,0.568363493835034,0.48084139823913574,408.98236083984375,10.861907005310059,9.0,,,,,
pointmaze_lowdata_scratch_a100_seed0,cem,,0.12,1.0220483019411906,0.5712316645408163,0.4323311746120453,393.96978759765625,10.077180862426758,10.0,,,,,
